tau,Admm,Apgd,Bgs,BlockedJacobi,BoxedSemiSmoothNewton,Dantzig,Jacobi,Nncg,Pgs,RedBlackGaussSeidel,Sap,Staggering,SubspaceMinimization,SymmetricPsor,Tgs
1.6784,0.0000,0.6667,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.3333,1.0000
1.7236,0.0000,0.6667,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000
1.7688,0.0000,0.6667,0.0000,0.0000,0.0000,0.3333,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000
1.8141,0.0000,0.6667,0.0000,0.0000,0.0000,0.3333,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000
1.8593,0.0000,0.6667,0.0000,0.0000,0.0000,0.3333,1.0000,0.0000,1.0000,0.6667,0.0000,0.0000,0.3333,1.0000,1.0000
1.9045,0.0000,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000,0.0000,1.0000,0.6667,0.3333,0.0000,0.3333,1.0000,1.0000
1.9497,0.0000,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000,0.0000,1.0000,0.6667,0.3333,0.0000,0.3333,1.0000,1.0000
1.9950,0.0000,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000,0.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
2.0402,0.0000,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000,0.0000,1.0000,1.0000,0.3333,0.0000,0.3333,1.0000,1.0000
2.0854,0.0000,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000,0.0000,1.0000,1.0000,0.3333,0.0000,0.6667,1.0000,1.0000
2.1307,0.0000,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000,0.0000,1.0000,1.0000,0.3333,0.0000,0.6667,1.0000,1.0000
2.1759,0.0000,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000,0.0000,1.0000,1.0000,0.3333,0.0000,0.6667,1.0000,1.0000
2.2211,0.0000,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000,0.0000,1.0000,1.0000,0.3333,0.0000,0.6667,1.0000,1.0000
2.2663,0.0000,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000,0.0000,1.0000,1.0000,0.3333,0.0000,0.6667,1.0000,1.0000
2.3116,0.0000,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000,0.0000,1.0000,1.0000,0.3333,0.0000,0.6667,1.0000,1.0000
2.3568,0.0000,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000,0.0000,1.0000,1.0000,0.3333,0.0000,0.6667,1.0000,1.0000
2.4020,0.0000,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000,0.0000,1.0000,1.0000,0.3333,0.0000,0.6667,1.0000,1.0000
2.4472,0.0000,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000,0.0000,1.0000,1.0000,0.3333,0.0000,0.6667,1.0000,1.0000
2.4925,0.0000,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000,0.0000,1.0000,1.0000,0.3333,0.0000,1.0000,1.0000,1.0000
2.5377,0.0000,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000,0.0000,1.0000,1.0000,0.6667,0.0000,1.0000,1.0000,1.0000
2.5829,0.0000,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000,0.0000,1.0000,1.0000,0.6667,0.0000,1.0000,1.0000,1.0000
2.6281,0.0000,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000,0.0000,1.0000,1.0000,0.6667,0.0000,1.0000,1.0000,1.0000
2.6734,0.0000,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000,0.0000,1.0000,1.0000,0.6667,0.0000,1.0000,1.0000,1.0000
2.7186,0.0000,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000,0.0000,1.0000,1.0000,0.6667,0.0000,1.0000,1.0000,1.0000
2.7638,0.0000,1.0000,0.0000,0.0000,0.0000,0.3333,1.0000,0.0000,1.0000,1.0000,0.6667,0.0000,1.0000,1.0000,1.0000
2.8090,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.0000,1.0000,1.0000,1.0000
2.8543,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.0000,1.0000,1.0000,1.0000
2.8995,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.0000,1.0000,1.0000,1.0000
2.9447,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.0000,1.0000,1.0000,1.0000
2.9899,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.0000,1.0000,1.0000,1.0000
3.0352,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.0000,1.0000,1.0000,1.0000
3.0804,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.0000,1.0000,1.0000,1.0000
3.1256,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.0000,1.0000,1.0000,1.0000
3.1709,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.3333,1.0000,1.0000,1.0000
3.2161,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.3333,1.0000,1.0000,1.0000
3.2613,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.3333,1.0000,1.0000,1.0000
3.3065,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.3333,1.0000,1.0000,1.0000
3.3518,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.3333,1.0000,1.0000,1.0000
3.3970,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.3333,1.0000,1.0000,1.0000
3.4422,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.3333,1.0000,1.0000,1.0000
3.4874,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.3333,1.0000,1.0000,1.0000
3.5327,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.3333,1.0000,1.0000,1.0000
3.5779,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.3333,1.0000,1.0000,1.0000
3.6231,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.3333,1.0000,1.0000,1.0000
3.6683,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.3333,1.0000,1.0000,1.0000
3.7136,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.3333,1.0000,1.0000,1.0000
3.7588,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.3333,1.0000,1.0000,1.0000
3.8040,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.3333,1.0000,1.0000,1.0000
3.8492,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.3333,1.0000,1.0000,1.0000
3.8945,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.3333,1.0000,1.0000,1.0000
3.9397,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.3333,1.0000,1.0000,1.0000
3.9849,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.3333,1.0000,1.0000,1.0000
4.0302,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.3333,1.0000,1.0000,1.0000
4.0754,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.3333,1.0000,1.0000,1.0000
4.1206,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.3333,1.0000,1.0000,1.0000
4.1658,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.3333,1.0000,1.0000,1.0000
4.2111,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.3333,1.0000,1.0000,1.0000
4.2563,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.3333,1.0000,1.0000,1.0000
4.3015,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.3333,1.0000,1.0000,1.0000
4.3467,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.3333,1.0000,1.0000,1.0000
4.3920,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.3333,1.0000,1.0000,1.0000
4.4372,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
4.4824,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
4.5276,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
4.5729,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
4.6181,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
4.6633,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
4.7085,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
4.7538,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
4.7990,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
4.8442,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
4.8894,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
4.9347,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
4.9799,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
5.0251,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
5.0704,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
5.1156,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
5.1608,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
5.2060,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
5.2513,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
5.2965,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
5.3417,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
5.3869,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
5.4322,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
5.4774,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
5.5226,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
5.5678,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
5.6131,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
5.6583,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
5.7035,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
5.7487,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
5.7940,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
5.8392,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
5.8844,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
5.9296,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
5.9749,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
6.0201,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.3333,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
6.0653,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.3333,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
6.1106,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.3333,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
6.1558,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
6.2010,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
6.2462,0.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
6.2915,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
6.3367,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
6.3819,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
6.4271,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
6.4724,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
6.5176,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
6.5628,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
6.6080,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
6.6533,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
6.6985,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
6.7437,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
6.7889,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
6.8342,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
6.8794,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
6.9246,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
6.9698,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
7.0151,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
7.0603,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
7.1055,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
7.1508,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
7.1960,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
7.2412,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
7.2864,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
7.3317,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
7.3769,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
7.4221,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
7.4673,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
7.5126,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
7.5578,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
7.6030,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
7.6482,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
7.6935,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
7.7387,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
7.7839,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
7.8291,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
7.8744,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
7.9196,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
7.9648,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.0101,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.0553,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.1005,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.1457,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.1910,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.2362,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.2814,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.3266,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.3719,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.4171,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.4623,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.5075,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.5528,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.5980,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.6432,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.6884,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.7337,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
