tau,Admm,Apgd,Bgs,BlockedJacobi,BoxedSemiSmoothNewton,Dantzig,Jacobi,Nncg,Pgs,RedBlackGaussSeidel,Sap,ShockPropagation,Staggering,SubspaceMinimization,SymmetricPsor,Tgs
8.1910,1.0000,1.0000,0.3333,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.6667,1.0000,1.0000
8.2362,1.0000,1.0000,0.3333,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.6667,1.0000,1.0000
8.2814,1.0000,1.0000,0.3333,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.6667,1.0000,1.0000
8.3266,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.6667,1.0000,1.0000
8.3719,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.4171,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.4623,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.5075,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.5528,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.5980,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.6432,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.6884,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.7337,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.7789,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.8241,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.8693,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.9146,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
8.9598,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
9.0050,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
9.0503,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,1.0000
9.0955,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000
9.1407,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000
9.1859,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000
9.2312,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000
9.2764,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000
9.3216,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000
9.3668,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000
9.4121,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000
9.4573,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000
9.5025,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000
9.5477,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000
9.5930,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000
9.6382,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000
9.6834,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000
9.7286,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000
9.7739,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000
9.8191,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000
9.8643,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000
9.9095,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000
9.9548,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000
10.0000,1.0000,1.0000,0.6667,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000
